Next Price,Date,index,Random Forest,Fold,20-day MA,Open
continuous,time,continuous,continuous,discrete,continuous,continuous
class,meta,meta,meta,meta,,
32.2454,2022/10/27 0:00,1233,32.4454,1,32.9116,32.6882
32.4064,2022/10/28 0:00,1234,32.4828,1,32.8975,32.8492
33.0505,2022/10/31 0:00,1235,32.9193,1,32.8573,32.2856
33.3323,2022/11/1 0:00,1236,32.8964,1,32.8854,32.7687
32.4467,2022/11/2 0:00,1237,32.7945,1,32.8351,33.0505
33.3725,2022/11/3 0:00,1238,33.8489,1,32.7566,32.4064
34.6205,2022/11/4 0:00,1239,33.8489,1,32.7647,32.4466
34.6205,2022/11/7 0:00,1240,33.9279,1,32.8714,34.4192
34.6205,2022/11/8 0:00,1241,34.2288,1,33.0042,34.6607
34.2179,2022/11/9 0:00,1242,34.578,1,33.1773,34.6607
34.9425,2022/11/10 0:00,1243,34.3163,1,33.3283,34.0972
35.1438,2022/11/11 0:00,1244,35.2835,1,33.443,35.1036
35.9892,2022/11/14 0:00,1245,35.4278,1,33.5436,34.9426
35.7074,2022/11/15 0:00,1246,35.7227,1,33.6443,35.3451
35.7074,2022/11/16 0:00,1247,35.7227,1,33.753,35.4256
35.5464,2022/11/17 0:00,1248,35.7227,1,33.8556,35.5464
35.7074,2022/11/18 0:00,1249,35.9325,1,33.9603,35.7074
36.0295,2022/11/21 0:00,1250,35.9882,1,34.0509,35.4256
36.3918,2022/11/22 0:00,1251,36.1216,1,34.2441,35.7074
37.0359,2022/11/23 0:00,1252,36.8337,1,34.4434,36.2308
37.0359,2022/11/24 0:00,1253,37.0833,1,34.6567,36.9151
36.7138,2022/11/25 0:00,1254,37.3482,1,34.8963,37.3982
37.2372,2022/11/28 0:00,1255,37.2772,1,35.1116,36.9956
38.0423,2022/11/29 0:00,1256,36.8001,1,35.321,36.7943
38.0825,2022/11/30 0:00,1257,38.0357,1,35.5565,38.1631
37.7605,2022/12/1 0:00,1258,38.1647,1,35.8383,38.3241
38.002,2022/12/2 0:00,1259,38.0136,1,36.0576,38.0825
38.1228,2022/12/5 0:00,1260,37.6505,1,36.2267,38.2838
37.5592,2022/12/6 0:00,1261,37.8435,1,36.4018,37.841
37.8813,2022/12/7 0:00,1262,37.8756,1,36.5488,37.9215
38.002,2022/12/8 0:00,1263,38.0122,1,36.7319,37.6397
38.3241,2022/12/9 0:00,1264,38.2132,1,36.8849,37.5995
38.4046,2022/12/12 0:00,1265,38.3491,1,37.0439,38.002
38.6864,2022/12/13 0:00,1266,38.5752,1,37.1647,38.3241
38.002,2022/12/14 0:00,1267,38.6338,1,37.3136,38.5656
37.841,2022/12/15 0:00,1268,38.3679,1,37.4284,38.3241
