Next Price,Date,index,Random Forest,Fold,Close,20-SMA Change
continuous,time,continuous,continuous,discrete,continuous,continuous
class,meta,meta,meta,meta,,
3.01284,2022-10-27 00:00:00,1233,3.22902,1,3.17062,-0.117985
2.98279,2022-10-28 00:00:00,1234,3.22902,1,3.01284,-0.153919
3.02787,2022-10-31 00:00:00,1235,3.22902,1,2.98279,-0.153608
3.103,2022-11-01 00:00:00,1236,3.22902,1,3.02787,-0.133054
3.01284,2022-11-02 00:00:00,1237,3.22902,1,3.103,-0.101197
3.20819,2022-11-03 00:00:00,1238,3.22902,1,3.01284,-0.116643
3.26829,2022-11-04 00:00:00,1239,3.28548,1,3.20819,-0.0505836
3.26078,2022-11-07 00:00:00,1240,3.37273,1,3.26829,-0.0249916
3.20068,2022-11-08 00:00:00,1241,3.37273,1,3.26078,-0.0198735
3.20819,2022-11-09 00:00:00,1242,3.31017,1,3.20068,-0.0307167
3.43359,2022-11-10 00:00:00,1243,3.31017,1,3.20819,-0.0224358
3.37348,2022-11-11 00:00:00,1244,3.56545,1,3.43359,0.0484056
3.43359,2022-11-14 00:00:00,1245,3.37273,1,3.37348,0.0338475
3.35845,2022-11-15 00:00:00,1246,3.56545,1,3.43359,0.0544532
3.35845,2022-11-16 00:00:00,1247,3.37273,1,3.35845,0.0341237
3.25327,2022-11-17 00:00:00,1248,3.37273,1,3.35845,0.0356811
3.26078,2022-11-18 00:00:00,1249,3.37273,1,3.25327,0.00721088
3.26078,2022-11-21 00:00:00,1250,3.37273,1,3.26078,0.0109481
3.29084,2022-11-22 00:00:00,1251,3.37273,1,3.26078,0.0128355
3.29835,2022-11-23 00:00:00,1252,3.37273,1,3.29084,0.0207412
3.31337,2022-11-24 00:00:00,1253,3.37273,1,3.29835,0.0210489
3.3284,2022-11-25 00:00:00,1254,3.37273,1,3.31337,0.0209515
3.381,2022-11-28 00:00:00,1255,3.37273,1,3.3284,0.0201496
3.43359,2022-11-29 00:00:00,1256,3.37273,1,3.381,0.0306918
3.381,2022-11-30 00:00:00,1257,3.56545,1,3.43359,0.0414768
3.39602,2022-12-01 00:00:00,1258,3.37273,1,3.381,0.0198301
3.381,2022-12-02 00:00:00,1259,3.37273,1,3.39602,0.021469
3.4411,2022-12-05 00:00:00,1260,3.37273,1,3.381,0.0152285
3.35094,2022-12-06 00:00:00,1261,3.56545,1,3.4411,0.0304871
3.39602,2022-12-07 00:00:00,1262,3.37273,1,3.35094,0.00123475
3.47867,2022-12-08 00:00:00,1263,3.37273,1,3.39602,0.0118648
3.49369,2022-12-09 00:00:00,1264,3.56545,1,3.47867,0.0357942
3.47867,2022-12-12 00:00:00,1265,3.56545,1,3.49369,0.03841
