,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown
0,2022-10-27,20000.0,20000.0,0.0,0,20000.0,0.0
1,2022-10-28,20000.0,20000.0,0.0,0,20000.0,0.0
2,2022-10-31,20000.0,20000.0,0.0,0,20000.0,0.0
3,2022-11-01,20000.0,20000.0,0.0,0,20000.0,0.0
4,2022-11-02,20000.0,20000.0,0.0,0,20000.0,0.0
5,2022-11-03,20000.0,20000.0,0.0,0,20000.0,0.0
6,2022-11-04,20000.0,20000.0,0.0,0,20000.0,0.0
7,2022-11-07,20000.0,20000.0,0.0,0,20000.0,0.0
8,2022-11-08,20000.0,20000.0,0.0,0,20000.0,0.0
9,2022-11-09,20000.0,20000.0,0.0,0,20000.0,0.0
10,2022-11-10,20000.0,20000.0,0.0,0,20000.0,0.0
11,2022-11-11,20000.0,20000.0,0.0,0,20000.0,0.0
12,2022-11-14,20000.0,20000.0,0.0,0,20000.0,0.0
13,2022-11-15,20000.0,20000.0,0.0,0,20000.0,0.0
14,2022-11-16,20000.0,20000.0,0.0,0,20000.0,0.0
15,2022-11-17,20000.0,20000.0,0.0,0,20000.0,0.0
16,2022-11-18,20000.0,20000.0,0.0,0,20000.0,0.0
17,2022-11-21,20000.0,20000.0,0.0,0,20000.0,0.0
18,2022-11-22,20000.0,20000.0,0.0,0,20000.0,0.0
19,2022-11-23,20000.0,20000.0,0.0,0,20000.0,0.0
20,2022-11-24,20000.0,20000.0,0.0,0,20000.0,0.0
21,2022-11-25,20000.0,20000.0,0.0,0,20000.0,0.0
22,2022-11-28,20000.0,20000.0,0.0,0,20000.0,0.0
23,2022-11-29,20000.0,20000.0,0.0,0,20000.0,0.0
24,2022-11-30,20000.0,20000.0,0.0,0,20000.0,0.0
25,2022-12-01,20000.0,20000.0,0.0,0,20000.0,0.0
26,2022-12-02,20000.0,20000.0,0.0,0,20000.0,0.0
27,2022-12-05,20000.0,20000.0,0.0,0,20000.0,0.0
28,2022-12-06,20000.0,20000.0,0.0,0,20000.0,0.0
29,2022-12-07,20000.0,20000.0,0.0,0,20000.0,0.0
30,2022-12-08,20000.0,20000.0,0.0,0,20000.0,0.0
31,2022-12-09,20000.0,20000.0,0.0,0,20000.0,0.0
32,2022-12-12,20000.0,20000.0,0.0,0,20000.0,0.0
33,2022-12-13,20000.0,20000.0,0.0,0,20000.0,0.0
34,2022-12-14,20000.0,20000.0,0.0,0,20000.0,0.0
35,2022-12-15,20000.0,20000.0,0.0,0,20000.0,0.0
36,2022-12-16,20000.0,20000.0,0.0,0,20000.0,0.0
37,2022-12-19,20000.0,20000.0,0.0,0,20000.0,0.0
38,2022-12-20,20000.0,20000.0,0.0,0,20000.0,0.0
39,2022-12-21,20000.0,20000.0,0.0,0,20000.0,0.0
40,2022-12-22,20000.0,20000.0,0.0,0,20000.0,0.0
41,2022-12-23,20000.0,20000.0,0.0,0,20000.0,0.0
42,2022-12-28,20000.0,20000.0,0.0,0,20000.0,0.0
43,2022-12-29,19989.68000984192,19402.72998523712,586.9500246047974,129,20000.0,-0.051599950790405275
44,2022-12-30,19988.389980316162,19402.72998523712,585.6599950790405,129,20000.0,-0.05805009841918945
45,2023-01-03,19988.389980316162,19988.389980316162,0.0,0,20000.0,-0.05805009841918945
46,2023-01-04,19993.50997543335,19391.909999847412,601.5999755859375,128,20000.0,-0.03245012283325195
47,2023-01-05,19990.949977874756,19391.909999847412,599.0399780273438,128,20000.0,-0.0452501106262207
48,2023-01-06,19994.790004730225,19391.909999847412,602.8800048828125,128,20000.0,-0.02604997634887695
49,2023-01-09,20002.469997406006,19391.909999847412,610.5599975585938,128,20002.469997406006,0.0
50,2023-01-10,20016.55001449585,19391.909999847412,624.6400146484375,128,20016.55001449585,0.0
51,2023-01-11,20008.87002182007,19391.909999847412,616.9600219726562,128,20016.55001449585,-0.03836821365429832
52,2023-01-12,20017.82998275757,19391.909999847412,625.9199829101562,128,20017.82998275757,0.0
53,2023-01-13,20020.389980316162,19391.909999847412,628.47998046875,128,20020.389980316162,0.0
54,2023-01-16,20017.82998275757,19391.909999847412,625.9199829101562,128,20020.389980316162,-0.012786951508490657
55,2023-01-17,19997.35000228882,19391.909999847412,605.4400024414062,128,20020.389980316162,-0.11508256357641593
56,2023-01-18,19994.790004730225,19391.909999847412,602.8800048828125,128,20020.389980316162,-0.12786951508490657
57,2023-01-19,19992.23000717163,19391.909999847412,600.3200073242188,128,20020.389980316162,-0.14065646659339723
58,2023-01-20,19992.23000717163,19992.23000717163,0.0,0,20020.389980316162,-0.14065646659339723
59,2023-01-26,19992.23000717163,19992.23000717163,0.0,0,20020.389980316162,-0.14065646659339723
60,2023-01-27,19992.23000717163,19992.23000717163,0.0,0,20020.389980316162,-0.14065646659339723
61,2023-01-30,19992.23000717163,19393.210025787354,599.0199813842773,122,20020.389980316162,-0.14065646659339723
62,2023-01-31,19981.25004673004,19393.210025787354,588.040020942688,122,20020.389980316162,-0.19550035551056988
63,2023-02-01,19989.790009498596,19393.210025787354,596.5799837112427,122,20020.389980316162,-0.1528440297499274
64,2023-02-02,19987.35001182556,19393.210025787354,594.139986038208,122,20020.389980316162,-0.16503159290645755
65,2023-02-03,19987.35001182556,19987.35001182556,0.0,0,20020.389980316162,-0.16503159290645755
66,2023-02-06,19987.35001182556,19987.35001182556,0.0,0,20020.389980316162,-0.16503159290645755
67,2023-02-07,19979.79001903534,19390.110040664673,589.6799783706665,126,20020.389980316162,-0.20279305907996903
68,2023-02-08,19979.79001903534,19979.79001903534,0.0,0,20020.389980316162,-0.20279305907996903
69,2023-02-09,19981.05004787445,19382.55004787445,598.5,126,20020.389980316162,-0.1964993313336555
70,2023-02-10,19981.05004787445,19981.05004787445,0.0,0,20020.389980316162,-0.1964993313336555
71,2023-02-13,19978.510050296783,19382.880043029785,595.6300072669983,127,20020.389980316162,-0.20918638478348606
72,2023-02-14,19978.510050296783,19978.510050296783,0.0,0,20020.389980316162,-0.20918638478348606
73,2023-02-15,19973.43005514145,19380.340045452118,593.090009689331,127,20020.389980316162,-0.23456049168314724
74,2023-02-16,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
75,2023-02-17,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
76,2023-02-20,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
77,2023-02-21,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
78,2023-02-22,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
79,2023-02-23,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
80,2023-02-24,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
81,2023-02-27,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
82,2023-02-28,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
83,2023-03-01,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
84,2023-03-02,19973.43005514145,19973.43005514145,0.0,0,20020.389980316162,-0.23456049168314724
85,2023-03-03,19964.75003385544,19375.75003385544,589.0,124,20020.389980316162,-0.27791639681059405
86,2023-03-06,19968.470059871674,19375.75003385544,592.7200260162354,124,20020.389980316162,-0.2593352102308479
87,2023-03-07,19969.710029125214,19375.75003385544,593.9599952697754,124,20020.389980316162,-0.2531416782628934
88,2023-03-08,19947.390050411224,19375.75003385544,571.6400165557861,124,20020.389980316162,-0.3646279117275463
89,2023-03-09,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
90,2023-03-10,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
91,2023-03-13,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
92,2023-03-14,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
93,2023-03-15,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
94,2023-03-16,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
95,2023-03-17,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
96,2023-03-20,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
97,2023-03-21,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
98,2023-03-22,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
99,2023-03-23,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
100,2023-03-24,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
101,2023-03-27,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
102,2023-03-28,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
103,2023-03-29,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
104,2023-03-30,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
105,2023-03-31,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
106,2023-04-03,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
107,2023-04-04,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
108,2023-04-06,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
109,2023-04-11,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
110,2023-04-12,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
111,2023-04-13,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
112,2023-04-14,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
113,2023-04-17,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
114,2023-04-18,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
115,2023-04-19,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
116,2023-04-20,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
117,2023-04-21,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
118,2023-04-24,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
119,2023-04-25,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
120,2023-04-26,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
121,2023-04-27,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
122,2023-04-28,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
123,2023-05-02,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
124,2023-05-03,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
125,2023-05-04,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
126,2023-05-05,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
127,2023-05-08,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
128,2023-05-09,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
129,2023-05-10,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
130,2023-05-11,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
131,2023-05-12,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
132,2023-05-15,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
133,2023-05-16,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
134,2023-05-17,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
135,2023-05-18,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
136,2023-05-19,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
137,2023-05-22,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
138,2023-05-23,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
139,2023-05-24,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
140,2023-05-25,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
141,2023-05-29,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
142,2023-05-30,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
143,2023-05-31,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
144,2023-06-01,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
145,2023-06-02,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
146,2023-06-05,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
147,2023-06-06,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
148,2023-06-07,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
149,2023-06-08,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
150,2023-06-09,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
151,2023-06-12,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
152,2023-06-13,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
153,2023-06-14,19947.390050411224,19947.390050411224,0.0,0,20020.389980316162,-0.3646279117275463
154,2023-06-15,19957.470006465912,19349.790036678314,607.6799697875977,144,20020.389980316162,-0.31427946164941095
155,2023-06-16,19970.430028438568,19349.790036678314,620.6399917602539,144,20020.389980316162,-0.2495453481511304
156,2023-06-19,19963.2300696373,19349.790036678314,613.4400329589844,144,20020.389980316162,-0.2855084777822138
157,2023-06-20,19958.910039424896,19349.790036678314,609.120002746582,144,20020.389980316162,-0.30708662993933833
158,2023-06-21,19956.03004217148,19349.790036678314,606.2400054931641,144,20020.389980316162,-0.32147195038639037
159,2023-06-23,19954.590009212494,19349.790036678314,604.7999725341797,144,20020.389980316162,-0.32866478209646294
