,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2022-12-28,BUY,4.630000114440918,647,97004.38992595673,647,"Aggressive Entry: MACD, ML_bullish",,
1,2022-12-30,SELL,4.539999961853027,647,99941.76990127563,0,Trailing Stop,-58.230098724365234,-1.9438477400287997
2,2023-01-03,BUY,4.659999847412109,643,96945.38999938965,643,"Aggressive Entry: MACD, ML_bullish",,
3,2023-01-19,SELL,4.690000057220459,643,99961.0600361824,0,Trailing Stop,19.2901349067688,0.6437813474395276
4,2023-01-27,BUY,4.909999847412109,610,96965.96012926102,610,"Aggressive Entry: MACD, ML_bullish",,
5,2023-02-02,SELL,4.869999885559082,610,99936.66005945206,0,MACD Bearish Crossover,-24.39997673034668,-0.8146631995133347
6,2023-02-06,BUY,4.739999771118164,632,96940.98020410538,632,"Aggressive Entry: BB_oversold, ML_bullish",,
7,2023-02-07,SELL,4.679999828338623,632,99898.74009561539,0,Trailing Stop,-37.91996383666992,-1.2658216387505659
8,2023-02-08,BUY,4.739999771118164,632,96903.0602402687,632,"Aggressive Entry: BB_oversold, ML_bullish",,
9,2023-02-09,SELL,4.75,632,99905.0602402687,0,Trailing Stop,6.3201446533203125,0.21097530305316634
10,2023-02-10,BUY,4.710000038146973,636,96909.50021600723,636,"Aggressive Entry: BB_oversold, ML_bullish",,
11,2023-02-13,SELL,4.690000057220459,636,99892.34025239944,0,Trailing Stop,-12.719987869262695,-0.42462804170978624
12,2023-02-14,BUY,4.710000038146973,636,96896.78022813797,636,"Aggressive Entry: BB_oversold, ML_bullish",,
13,2023-02-15,SELL,4.670000076293945,636,99866.90027666092,0,Trailing Stop,-25.43997573852539,-0.8492560834195725
14,2023-02-16,BUY,4.619999885559082,648,96873.14035081863,648,"Aggressive Entry: RSI_oversold, ML_bullish",,
15,2023-02-17,SELL,4.679999828338623,648,99905.78023958206,0,Trailing Stop,38.87996292114258,1.2987000923330156
16,2023-02-27,BUY,4.670000076293945,641,96912.31019067764,641,"Aggressive Entry: BB_oversold, ML_bullish",,
17,2023-02-28,SELL,4.559999942779541,641,99835.27015399933,0,Trailing Stop,-70.51008558273315,-2.3554632059385114
18,2023-03-08,BUY,4.610000133514404,649,96843.38006734848,649,"Aggressive Entry: RSI_oversold, ML_bullish",,
19,2023-03-09,SELL,4.590000152587891,649,99822.29016637802,0,Trailing Stop,-12.979987621307373,-0.43383905308624826
