,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2023-01-04,BUY,55.70000076293945,3,19832.89999771118,3,"Conservative Entry: Trend, MACD, ML_bullish",,
1,2023-01-06,SELL,56.349998474121094,3,20001.949993133545,0,Take Profit (RSI>70 + BB_upper),1.9499931335449219,1.1669617635160305
2,2024-06-07,BUY,38.099998474121094,5,19811.45000076294,5,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
3,2024-06-12,SELL,36.650001525878906,5,19994.700008392334,0,Trailing Stop,-7.2499847412109375,-3.8057664207705373
4,2024-09-19,BUY,37.20000076293945,5,19808.700004577637,5,"Conservative Entry: Trend, MACD, ML_bullish",,
5,2024-09-24,SELL,40.349998474121094,5,20010.449996948242,0,Take Profit (RSI>70 + BB_upper),15.749988555908203,8.467735609080497
6,2024-11-12,BUY,45.900001525878906,4,19826.849990844727,4,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
7,2024-11-15,SELL,45.599998474121094,4,20009.24998474121,0,Trailing Stop,-1.20001220703125,-0.653601398223631
8,2025-03-07,BUY,48.5,4,19815.24998474121,4,"Conservative Entry: Trend, MACD, ML_bullish",,
9,2025-03-12,SELL,47.099998474121094,4,20003.649978637695,0,MACD Bearish Crossover,-5.600006103515625,-2.8866010842864047
10,2025-03-14,BUY,49.150001525878906,4,19807.04997253418,4,"Conservative Entry: Trend, MACD, ML_bullish",,
11,2025-03-24,SELL,48.29999923706055,4,20000.249969482422,0,MACD Bearish Crossover,-3.4000091552734375,-1.729404399653596
12,2025-06-09,BUY,47.20000076293945,4,19811.449966430664,4,"Conservative Entry: Trend, MACD, ML_bullish",,
13,2025-06-19,SELL,46.0,4,19995.449966430664,0,MACD Bearish Crossover,-4.8000030517578125,-2.5423744566582105
14,2025-06-24,BUY,49.95000076293945,4,19795.649963378906,4,"Conservative Entry: Trend, MACD, ML_bullish",,
15,2025-07-09,SELL,49.5,4,19993.649963378906,0,MACD Bearish Crossover,-1.8000030517578125,-0.9009024145467731
16,2025-07-10,BUY,51.650001525878906,3,19838.69995880127,3,"Conservative Entry: Trend, MACD, ML_bullish",,
17,2025-07-24,SELL,55.400001525878906,3,20004.899963378906,0,Take Profit (RSI>70 + BB_upper),11.25,7.260406368276845
18,2025-08-14,BUY,57.900001525878906,3,19831.19995880127,3,"Conservative Entry: Trend, MACD, ML_bullish",,
19,2025-08-27,SELL,56.29999923706055,3,20000.09995651245,0,MACD Bearish Crossover,-4.800006866455078,-2.7633890270334875
