,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown
0,2022-10-03,100000.0,100000.0,0.0,0,100000.0,0.0
1,2022-10-05,100000.0,100000.0,0.0,0,100000.0,0.0
2,2022-10-06,100000.0,100000.0,0.0,0,100000.0,0.0
3,2022-10-07,100000.0,100000.0,0.0,0,100000.0,0.0
4,2022-10-10,100000.0,100000.0,0.0,0,100000.0,0.0
5,2022-10-11,100000.0,100000.0,0.0,0,100000.0,0.0
6,2022-10-12,100000.0,100000.0,0.0,0,100000.0,0.0
7,2022-10-13,100000.0,100000.0,0.0,0,100000.0,0.0
8,2022-10-14,100000.0,100000.0,0.0,0,100000.0,0.0
9,2022-10-17,100000.0,100000.0,0.0,0,100000.0,0.0
10,2022-10-18,100000.0,100000.0,0.0,0,100000.0,0.0
11,2022-10-19,100000.0,100000.0,0.0,0,100000.0,0.0
12,2022-10-20,100000.0,100000.0,0.0,0,100000.0,0.0
13,2022-10-21,100000.0,100000.0,0.0,0,100000.0,0.0
14,2022-10-24,100000.0,100000.0,0.0,0,100000.0,0.0
15,2022-10-25,100000.0,100000.0,0.0,0,100000.0,0.0
16,2022-10-26,100000.0,100000.0,0.0,0,100000.0,0.0
17,2022-10-27,100000.0,100000.0,0.0,0,100000.0,0.0
18,2022-10-28,100000.0,100000.0,0.0,0,100000.0,0.0
19,2022-10-31,100000.0,100000.0,0.0,0,100000.0,0.0
20,2022-11-01,100000.0,100000.0,0.0,0,100000.0,0.0
21,2022-11-02,100000.0,100000.0,0.0,0,100000.0,0.0
22,2022-11-03,100000.0,100000.0,0.0,0,100000.0,0.0
23,2022-11-04,100000.0,100000.0,0.0,0,100000.0,0.0
24,2022-11-07,100000.0,100000.0,0.0,0,100000.0,0.0
25,2022-11-08,100000.0,100000.0,0.0,0,100000.0,0.0
26,2022-11-09,100000.0,100000.0,0.0,0,100000.0,0.0
27,2022-11-10,100000.0,100000.0,0.0,0,100000.0,0.0
28,2022-11-11,100000.0,100000.0,0.0,0,100000.0,0.0
29,2022-11-14,100000.0,100000.0,0.0,0,100000.0,0.0
30,2022-11-15,100000.0,100000.0,0.0,0,100000.0,0.0
31,2022-11-16,100000.0,100000.0,0.0,0,100000.0,0.0
32,2022-11-17,100000.0,100000.0,0.0,0,100000.0,0.0
33,2022-11-18,100000.0,100000.0,0.0,0,100000.0,0.0
34,2022-11-21,100000.0,100000.0,0.0,0,100000.0,0.0
35,2022-11-22,100000.0,100000.0,0.0,0,100000.0,0.0
36,2022-11-23,100000.0,100000.0,0.0,0,100000.0,0.0
37,2022-11-24,100000.0,100000.0,0.0,0,100000.0,0.0
38,2022-11-25,100000.0,100000.0,0.0,0,100000.0,0.0
39,2022-11-28,100000.0,100000.0,0.0,0,100000.0,0.0
40,2022-11-29,100000.0,100000.0,0.0,0,100000.0,0.0
41,2022-11-30,100000.0,100000.0,0.0,0,100000.0,0.0
42,2022-12-01,100000.0,100000.0,0.0,0,100000.0,0.0
43,2022-12-02,100000.0,100000.0,0.0,0,100000.0,0.0
44,2022-12-05,100000.0,100000.0,0.0,0,100000.0,0.0
45,2022-12-06,100000.0,100000.0,0.0,0,100000.0,0.0
46,2022-12-07,100000.0,100000.0,0.0,0,100000.0,0.0
47,2022-12-08,100000.0,100000.0,0.0,0,100000.0,0.0
48,2022-12-09,100000.0,100000.0,0.0,0,100000.0,0.0
49,2022-12-12,100000.0,100000.0,0.0,0,100000.0,0.0
50,2022-12-13,100000.0,100000.0,0.0,0,100000.0,0.0
51,2022-12-14,100000.0,100000.0,0.0,0,100000.0,0.0
52,2022-12-15,100000.0,100000.0,0.0,0,100000.0,0.0
53,2022-12-16,100000.0,100000.0,0.0,0,100000.0,0.0
54,2022-12-19,100000.0,100000.0,0.0,0,100000.0,0.0
55,2022-12-20,100000.0,100000.0,0.0,0,100000.0,0.0
56,2022-12-21,100000.0,100000.0,0.0,0,100000.0,0.0
57,2022-12-22,100000.0,100000.0,0.0,0,100000.0,0.0
58,2022-12-23,99985.0,99069.00001525879,915.9999847412109,5,100000.0,-0.015
59,2022-12-28,99990.0,99069.00001525879,920.9999847412109,5,100000.0,-0.01
60,2022-12-29,99988.00003051758,99069.00001525879,919.0000152587891,5,100000.0,-0.011999969482421876
61,2022-12-30,99942.5,99069.00001525879,873.4999847412109,5,100000.0,-0.057499999999999996
62,2023-01-03,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
63,2023-01-04,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
64,2023-01-05,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
65,2023-01-06,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
66,2023-01-09,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
67,2023-01-10,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
68,2023-01-11,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
69,2023-01-12,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
70,2023-01-13,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
71,2023-01-16,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
72,2023-01-17,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
73,2023-01-18,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
74,2023-01-19,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
75,2023-01-20,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
76,2023-01-26,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
77,2023-01-27,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
78,2023-01-30,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
79,2023-01-31,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
80,2023-02-01,99942.5,99942.5,0.0,0,100000.0,-0.057499999999999996
81,2023-02-02,99925.0,99041.99996948242,883.0000305175781,5,100000.0,-0.075
82,2023-02-03,99905.99998474121,99041.99996948242,864.0000152587891,5,100000.0,-0.09400001525878907
83,2023-02-06,99862.5,99041.99996948242,820.5000305175781,5,100000.0,-0.13749999999999998
84,2023-02-07,99862.5,99862.5,0.0,0,100000.0,-0.13749999999999998
85,2023-02-08,99862.5,99862.5,0.0,0,100000.0,-0.13749999999999998
86,2023-02-09,99862.5,99862.5,0.0,0,100000.0,-0.13749999999999998
87,2023-02-10,99862.5,99862.5,0.0,0,100000.0,-0.13749999999999998
88,2023-02-13,99862.5,99862.5,0.0,0,100000.0,-0.13749999999999998
